sample_no,specics_name,date,LAT,LON,sido,sigungu,clct_nm,back_length,weight,intake_weight,intake_count,note
MR_85_Cc,붉은바다거북,2019-07-16,35.56433333,129.4578056,울산광역시,동구,울산광역시 동구청,80,57.15,0.1439,7,
MR_86_Cm,푸른바다거북,2019-07-28,34.81958333,128.4396389,경상남도,통영시,통영시청,79.4,53.5,0.401,41,
MR_87_Ei,매부리바다거북,2019-07-29,34.73734167,128.3915444,경상남도,통영시,통영시청,88.8,72.2,13.0106,34,
MR_84_Cc,붉은바다거북,2015-07-01,35.82213889,129.5098056,경상북도,경주시,고래연구소 이관(분양),,,측정 전,측정 전,
MR 88 Cm,푸른바다거북,2019-08-20,36.11827778,129.4196083,경상북도,포항시,포항해경 영일만파출소,74,18,측정 전,측정 전,
MR_89_Cm,푸른바다거북,2019-09-13,34.67319444,127.7831944,전라남도,여수시,돌산해양파출소,,55,측정 전,측정 전,
MR 90 Cc,붉은바다거북,2019-11-13,37.97068889,128.7669361,강원도,양양군,영양군청 해양수산과,,68.5,측정 전,측정 전,
MR_91_Dc,장수거북,2019-11-20,37.46749722,129.1707889,강원도,삼척시,삼척시청 해양수산과,,128.5,측정 전,측정 전,
MR 92 Cc,붉은바다거북,2020-05-18,34.96540833,128.7256639,경상남도 ,거제시,거제시청 어업진흥과,,57.5,측정 전,측정 전,
MR 93 Cc,붉은바다거북,2020-05-31,34.6575,127.806,전라남도,여수시,여수해경 돌산파출소,,72.5,측정 전,측정 전,
MR_95_Cm,푸른바다거북,,0,0,,,,,,측정 전,측정 전,
MR 96 Cc,붉은바다거북,2020-07-04,36.12058056,129.4074167,경상북도,포항시,포항해경 영일만파출소,,63,측정 전,측정 전,
MR 97 Cc,붉은바다거북,2020-07-19,36.06178333,129.5337583,경상북도,포항시,포항 호미곶면사무소,,53,측정 전,측정 전,
