DeployID,datetime,Latitude,Longitude,Temperature,kst_day,kst_month,c_dist,diff_mm,speed,sum_dist,speed_km_h
220428,2020-08-23T02:19:35Z,35.0009,128.6796,,2020-08-23,8,0,0,0,0,0
220428,2020-08-23T02:22:35Z,35.0009,128.6796,25.5,2020-08-23,8,0,180,0,0,0
220428,2020-08-24T00:03:07Z,33.4183,128.0965,,2020-08-24,8,184169.640898366,78032,2.36018096291734,184169.640898366,8.49665146650244
220428,2020-08-24T14:52:18Z,33.8262,127.4868,,2020-08-24,8,72497.920128087,53351,1.35888587145671,256667.561026453,4.89198913724416
220428,2020-08-25T14:01:22Z,33.2526,126.4068,,2020-08-25,8,118821.748689551,83344,1.42567849742695,375489.309716005,5.13244259073701
220428,2020-08-25T14:02:54Z,33.2526,126.4068,,2020-08-25,8,0,92,0,375489.309716005,0
220428,2020-08-25T14:04:24Z,33.2526,126.4068,,2020-08-25,8,0,90,0,375489.309716005,0
220428,2020-08-25T14:05:57Z,33.2526,126.4068,,2020-08-25,8,0,93,0,375489.309716005,0
220428,2020-08-25T14:07:27Z,33.2526,126.4068,26.25,2020-08-25,8,0,90,0,375489.309716005,0
220428,2020-08-25T14:31:54Z,33.2457,126.393,,2020-08-25,8,1496.82903088403,1467,1.02033335438584,376986.138746889,3.67320007578904
220428,2020-08-25T14:52:35Z,33.2417,126.4646,,2020-08-25,8,6680.93389472152,1241,5.38350837608503,383667.07264161,19.3806301539061
220428,2020-08-25T14:53:35Z,33.2417,126.4646,23.3,2020-08-25,8,0,60,0,383667.07264161,0
220428,2020-08-25T14:53:50Z,33.2417,126.4646,,2020-08-25,8,0,15,0,383667.07264161,0
220428,2020-08-25T14:54:05Z,33.2417,126.4646,,2020-08-25,8,0,15,0,383667.07264161,0
220428,2020-08-25T14:54:20Z,33.2417,126.4646,,2020-08-25,8,0,15,0,383667.07264161,0
220428,2020-08-25T15:02:48Z,33.2438,126.481,22.4,2020-08-26,8,0,493,0,385211.748342469,0
220428,2020-08-25T15:17:44Z,33.2288,126.433,,2020-08-26,8,4771.00330567765,896,5.32478047508666,389982.751648146,19.169209710312
220428,2020-08-25T15:17:59Z,33.2288,126.433,23.6,2020-08-26,8,0,15,0,389982.751648146,0
220428,2020-08-25T15:18:29Z,33.2288,126.433,,2020-08-26,8,0,30,0,389982.751648146,0
220428,2020-08-25T15:39:11Z,33.2824,126.4092,22.25,2020-08-26,8,6364.77195105292,1242,5.12461509746612,396347.523599199,18.448614350878
220428,2020-08-25T15:39:26Z,33.2824,126.4092,,2020-08-26,8,0,15,0,396347.523599199,0
220428,2020-08-25T15:39:41Z,33.2824,126.4092,,2020-08-26,8,0,15,0,396347.523599199,0
220428,2020-08-25T15:39:56Z,33.2824,126.4092,,2020-08-26,8,0,15,0,396347.523599199,0
220428,2020-08-25T15:40:11Z,33.2824,126.4092,,2020-08-26,8,0,15,0,396347.523599199,0
220428,2020-08-25T15:40:26Z,33.2824,126.4092,23.7,2020-08-26,8,0,15,0,396347.523599199,0
220428,2020-08-25T15:40:41Z,33.2824,126.4092,,2020-08-26,8,0,15,0,396347.523599199,0
220428,2020-08-25T16:16:17Z,33.2142,126.2591,,2020-08-26,8,15903.0174080526,2136,7.44523286893848,412250.541007252,26.8028383281785
220428,2020-08-25T16:16:47Z,33.2142,126.2591,,2020-08-26,8,0,30,0,412250.541007252,0
220428,2020-08-25T16:17:02Z,33.2142,126.2591,,2020-08-26,8,0,15,0,412250.541007252,0
220428,2020-08-26T15:17:24Z,33.209,126.0747,,2020-08-27,8,17183.9982214197,82822,0.207481082579745,429434.539228671,0.746931897287084
220428,2020-08-26T15:18:26Z,33.209,126.0747,,2020-08-27,8,0,62,0,429434.539228671,0
220428,2020-08-26T15:21:31Z,33.209,126.0747,27.25,2020-08-27,8,0,185,0,429434.539228671,0
220428,2020-08-26T15:21:46Z,33.209,126.0747,,2020-08-27,8,0,15,0,429434.539228671,0
220428,2020-08-26T15:22:48Z,33.209,126.0747,28.2,2020-08-27,8,0,62,0,429434.539228671,0
220428,2020-08-26T15:23:03Z,33.209,126.0747,,2020-08-27,8,0,15,0,429434.539228671,0
220428,2020-08-26T15:23:18Z,33.209,126.0747,,2020-08-27,8,0,15,0,429434.539228671,0
220428,2020-08-26T15:23:33Z,33.209,126.0747,,2020-08-27,8,0,15,0,429434.539228671,0
220428,2020-08-26T15:23:48Z,33.209,126.0747,,2020-08-27,8,0,15,0,429434.539228671,0
220428,2020-08-26T17:12:37Z,33.2125,125.9767,23.75,2020-08-27,8,9135.71206960631,6529,1.3992513508357,438570.251298278,5.03730486300853
