SEA,LON,LAT,ID,CODE,도,분,도,분,LAT2,LON2,LAT2,LON2,LINE_CODE
JH,35˚0.56',128˚33.45',11,A,35,0.56,128,33.45,35.00933333,128.5575,35.00933333,128.5575,4
JH,35˚0.45',128˚33.45',12,A,35,0.45,128,33.45,35.0075,128.5575,35.0075,128.5575,4
JH,35˚0.34',128˚33.45',13,A,35,0.34,128,33.45,35.00566667,128.5575,35.00566667,128.5575,4
JH,35˚0.24',128˚33.45',14,A,35,0.24,128,33.45,35.004,128.5575,35.004,128.5575,4
JH,35˚0.13',128˚33.45',15,A,35,0.13,128,33.45,35.00216667,128.5575,35.00216667,128.5575,4
JH,35˚1.64',128˚33.58',1,A,35,1.64,128,33.58,35.02733333,128.5596667,35.02733333,128.5596667,5
JH,35˚1.53',128˚33.58',2,A,35,1.53,128,33.58,35.0255,128.5596667,35.0255,128.5596667,5
JH,35˚1.42',128˚33.58',3,A,35,1.42,128,33.58,35.02366667,128.5596667,35.02366667,128.5596667,5
JH,35˚1.32',128˚33.58',4,A,35,1.32,128,33.58,35.022,128.5596667,35.022,128.5596667,5
JH,35˚1.21',128˚33.58',5,A,35,1.21,128,33.58,35.02016667,128.5596667,35.02016667,128.5596667,5
JH,35˚1.1',128˚33.58',6,A,35,1.1,128,33.58,35.01833333,128.5596667,35.01833333,128.5596667,5
JH,35˚0.99',128˚33.58',7,A,35,0.99,128,33.58,35.0165,128.5596667,35.0165,128.5596667,5
JH,35˚0.88',128˚33.58',8,A,35,0.88,128,33.58,35.01466667,128.5596667,35.01466667,128.5596667,5
JH,35˚0.78',128˚33.58',9,A,35,0.78,128,33.58,35.013,128.5596667,35.013,128.5596667,5
JH,35˚0.67',128˚33.58',10,A,35,0.67,128,33.58,35.01116667,128.5596667,35.01116667,128.5596667,5
JH,35˚0.56',128˚33.58',11,A,35,0.56,128,33.58,35.00933333,128.5596667,35.00933333,128.5596667,5
JH,35˚0.45',128˚33.58',12,A,35,0.45,128,33.58,35.0075,128.5596667,35.0075,128.5596667,5
JH,35˚0.34',128˚33.58',13,A,35,0.34,128,33.58,35.00566667,128.5596667,35.00566667,128.5596667,5
JH,35˚0.24',128˚33.58',14,A,35,0.24,128,33.58,35.004,128.5596667,35.004,128.5596667,5
JH,35˚0.13',128˚33.58',15,A,35,0.13,128,33.58,35.00216667,128.5596667,35.00216667,128.5596667,5
JH,35˚1.64',128˚33.72',1,B,35,1.64,128,33.72,35.02733333,128.562,35.02733333,128.562,6
JH,35˚1.53',128˚33.72',2,B,35,1.53,128,33.72,35.0255,128.562,35.0255,128.562,6
JH,35˚1.42',128˚33.72',3,B,35,1.42,128,33.72,35.02366667,128.562,35.02366667,128.562,6
JH,35˚1.32',128˚33.72',4,B,35,1.32,128,33.72,35.022,128.562,35.022,128.562,6
JH,35˚1.21',128˚33.72',5,B,35,1.21,128,33.72,35.02016667,128.562,35.02016667,128.562,6
JH,35˚1.1',128˚33.72',6,B,35,1.1,128,33.72,35.01833333,128.562,35.01833333,128.562,6
JH,35˚0.99',128˚33.72',7,B,35,0.99,128,33.72,35.0165,128.562,35.0165,128.562,6
JH,35˚0.88',128˚33.72',8,B,35,0.88,128,33.72,35.01466667,128.562,35.01466667,128.562,6
JH,35˚0.78',128˚33.72',9,B,35,0.78,128,33.72,35.013,128.562,35.013,128.562,6
JH,35˚0.67',128˚33.72',10,B,35,0.67,128,33.72,35.01116667,128.562,35.01116667,128.562,6
JH,35˚0.56',128˚33.72',11,B,35,0.56,128,33.72,35.00933333,128.562,35.00933333,128.562,6
JH,35˚0.45',128˚33.72',12,B,35,0.45,128,33.72,35.0075,128.562,35.0075,128.562,6
JH,35˚0.34',128˚33.72',13,B,35,0.34,128,33.72,35.00566667,128.562,35.00566667,128.562,6
JH,35˚0.24',128˚33.72',14,B,35,0.24,128,33.72,35.004,128.562,35.004,128.562,6
JH,35˚0.13',128˚33.72',15,B,35,0.13,128,33.72,35.00216667,128.562,35.00216667,128.562,6
JH,35˚1.64',128˚33.85',1,B,35,1.64,128,33.85,35.02733333,128.5641667,35.02733333,128.5641667,7
JH,35˚1.53',128˚33.85',2,B,35,1.53,128,33.85,35.0255,128.5641667,35.0255,128.5641667,7
JH,35˚1.42',128˚33.85',3,B,35,1.42,128,33.85,35.02366667,128.5641667,35.02366667,128.5641667,7
JH,35˚1.32',128˚33.85',4,B,35,1.32,128,33.85,35.022,128.5641667,35.022,128.5641667,7
JH,35˚1.21',128˚33.85',5,B,35,1.21,128,33.85,35.02016667,128.5641667,35.02016667,128.5641667,7
JH,35˚1.1',128˚33.85',6,B,35,1.1,128,33.85,35.01833333,128.5641667,35.01833333,128.5641667,7
JH,35˚0.99',128˚33.85',7,B,35,0.99,128,33.85,35.0165,128.5641667,35.0165,128.5641667,7
JH,35˚0.88',128˚33.85',8,B,35,0.88,128,33.85,35.01466667,128.5641667,35.01466667,128.5641667,7
JH,35˚0.78',128˚33.85',9,B,35,0.78,128,33.85,35.013,128.5641667,35.013,128.5641667,7
JH,35˚0.67',128˚33.85',10,B,35,0.67,128,33.85,35.01116667,128.5641667,35.01116667,128.5641667,7
JH,35˚0.56',128˚33.85',11,B,35,0.56,128,33.85,35.00933333,128.5641667,35.00933333,128.5641667,7
JH,35˚0.45',128˚33.85',12,B,35,0.45,128,33.85,35.0075,128.5641667,35.0075,128.5641667,7
JH,35˚0.34',128˚33.85',13,B,35,0.34,128,33.85,35.00566667,128.5641667,35.00566667,128.5641667,7
JH,35˚0.24',128˚33.85',14,B,35,0.24,128,33.85,35.004,128.5641667,35.004,128.5641667,7
JH,35˚0.13',128˚33.85',15,B,35,0.13,128,33.85,35.00216667,128.5641667,35.00216667,128.5641667,7
JH,35˚1.64',128˚33.98',1,B,35,1.64,128,33.98,35.02733333,128.5663333,35.02733333,128.5663333,8
JH,35˚1.53',128˚33.98',2,B,35,1.53,128,33.98,35.0255,128.5663333,35.0255,128.5663333,8
JH,35˚1.42',128˚33.98',3,B,35,1.42,128,33.98,35.02366667,128.5663333,35.02366667,128.5663333,8
JH,35˚1.32',128˚33.98',4,B,35,1.32,128,33.98,35.022,128.5663333,35.022,128.5663333,8
JH,35˚1.21',128˚33.98',5,B,35,1.21,128,33.98,35.02016667,128.5663333,35.02016667,128.5663333,8
JH,35˚1.1',128˚33.98',6,B,35,1.1,128,33.98,35.01833333,128.5663333,35.01833333,128.5663333,8
JH,35˚0.99',128˚33.98',7,B,35,0.99,128,33.98,35.0165,128.5663333,35.0165,128.5663333,8
JH,35˚0.88',128˚33.98',8,B,35,0.88,128,33.98,35.01466667,128.5663333,35.01466667,128.5663333,8
JH,35˚0.78',128˚33.98',9,B,35,0.78,128,33.98,35.013,128.5663333,35.013,128.5663333,8
JH,35˚0.67',128˚33.98',10,B,35,0.67,128,33.98,35.01116667,128.5663333,35.01116667,128.5663333,8
JH,35˚0.56',128˚33.98',11,B,35,0.56,128,33.98,35.00933333,128.5663333,35.00933333,128.5663333,8
JH,35˚0.45',128˚33.98',12,B,35,0.45,128,33.98,35.0075,128.5663333,35.0075,128.5663333,8
JH,35˚0.34',128˚33.98',13,B,35,0.34,128,33.98,35.00566667,128.5663333,35.00566667,128.5663333,8
JH,35˚0.24',128˚33.98',14,B,35,0.24,128,33.98,35.004,128.5663333,35.004,128.5663333,8
JH,35˚0.13',128˚33.98',15,B,35,0.13,128,33.98,35.00216667,128.5663333,35.00216667,128.5663333,8
JH,35˚1.64',128˚34.11',1,B,35,1.64,128,34.11,35.02733333,128.5685,35.02733333,128.5685,9
JH,35˚1.53',128˚34.11',2,B,35,1.53,128,34.11,35.0255,128.5685,35.0255,128.5685,9
JH,35˚1.42',128˚34.11',3,B,35,1.42,128,34.11,35.02366667,128.5685,35.02366667,128.5685,9
JH,35˚1.32',128˚34.11',4,B,35,1.32,128,34.11,35.022,128.5685,35.022,128.5685,9
JH,35˚1.21',128˚34.11',5,B,35,1.21,128,34.11,35.02016667,128.5685,35.02016667,128.5685,9
JH,35˚1.1',128˚34.11',6,B,35,1.1,128,34.11,35.01833333,128.5685,35.01833333,128.5685,9
JH,35˚0.99',128˚34.11',7,B,35,0.99,128,34.11,35.0165,128.5685,35.0165,128.5685,9
JH,35˚0.88',128˚34.11',8,B,35,0.88,128,34.11,35.01466667,128.5685,35.01466667,128.5685,9
JH,35˚0.78',128˚34.11',9,B,35,0.78,128,34.11,35.013,128.5685,35.013,128.5685,9
JH,35˚0.67',128˚34.11',10,B,35,0.67,128,34.11,35.01116667,128.5685,35.01116667,128.5685,9
JH,35˚0.56',128˚34.11',11,B,35,0.56,128,34.11,35.00933333,128.5685,35.00933333,128.5685,9
JH,35˚0.45',128˚34.11',12,B,35,0.45,128,34.11,35.0075,128.5685,35.0075,128.5685,9
JH,35˚0.34',128˚34.11',13,B,35,0.34,128,34.11,35.00566667,128.5685,35.00566667,128.5685,9
JH,35˚0.24',128˚34.11',14,B,35,0.24,128,34.11,35.004,128.5685,35.004,128.5685,9
JH,35˚0.13',128˚34.11',15,B,35,0.13,128,34.11,35.00216667,128.5685,35.00216667,128.5685,9
JH,35˚1.64',128˚34.24',1,B,35,1.64,128,34.24,35.02733333,128.5706667,35.02733333,128.5706667,10
JH,35˚1.53',128˚34.24',2,B,35,1.53,128,34.24,35.0255,128.5706667,35.0255,128.5706667,10
JH,35˚1.42',128˚34.24',3,B,35,1.42,128,34.24,35.02366667,128.5706667,35.02366667,128.5706667,10
JH,35˚1.32',128˚34.24',4,B,35,1.32,128,34.24,35.022,128.5706667,35.022,128.5706667,10
